"Program ID","Severity","Stored Title","Fetched Title","Title Match","Stored Budget","Fetched Budget","Budget Match","URL Accessible","Error Message","Announcement URL"
"68962d24-e401-445f-8879-5266f9dcbb92","OK","(2025-DCP-12_첨단바이오)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-12_첨단바이오)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206604&flag=rndList"
"672785f7-4e71-4cd8-ae9a-7194dcd10678","OK","(2025-DCP-13_첨단바이오)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-13_첨단바이오)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206605&flag=rndList"
"fcc25d97-d46e-462e-bf2e-64c2b342d42c","OK","(2025-DCP-14_수소)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-14_수소)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206606&flag=rndList"
"42f1cbe7-dbba-4820-a8ff-20b1b64d5bf3","OK","25-1차 글로벌 방위산업 강소기업 육성사업 지원과제 및 주관기업 모집 공고","25-1차 글로벌 방위산업 강소기업 육성사업 지원과제 및 주관기업 모집 공고","YES","3674000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1201546&flag=rndList"
"e2e97e16-f505-43e3-961e-d09edf496a9b","OK","(2025-DCP-15_인공지능/첨단로봇)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-15_인공지능/첨단로봇)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206607&flag=rndList"
"12bc7d4d-ee27-4890-ae1e-c168b9fd63df","OK","(2025-DCP-16_첨단제조)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-16_첨단제조)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206608&flag=rndList"
"b69d8dad-7b52-4539-b4e2-70e134d7f325","OK","(2025-DCP-17_탄소중립)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-17_탄소중립)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206609&flag=rndList"
"6027e2f7-326f-4835-8856-28def4486e0c","OK","(2025-DCP-18_탄소중립)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-18_탄소중립)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206610&flag=rndList"
"6296c1e0-54d3-466a-afe8-e64db5e9303a","OK","(2025-DCP-19_탄소중립)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-19_탄소중립)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1206611&flag=rndList"
"b295aacf-dfda-4411-a437-803476106984","OK","(2025-DCP-20_탄소중립)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-20_탄소중립)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1207483&flag=rndList"
"b2233c15-31a1-4a95-a23c-689dc8dccbdc","OK","(2025-DCP-21_우주항공)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-21_우주항공)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1207484&flag=rndList"
"edf49d4c-5e24-43c9-b1d0-ed2733e88a2b","OK","(2025-DCP-22_첨단로봇)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-22_첨단로봇)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1207485&flag=rndList"
"d7ccbe75-fdfc-4cfe-88ec-946d04c60093","OK","(2025-DCP-23_첨단바이오)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-23_첨단바이오)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1207486&flag=rndList"
"c0a0e3a2-9722-4e77-a616-d94ed878da50","OK","(2025-DCP-07_첨단모빌리티)전략기술 테마별 프로젝트(DCP*))","(2025-DCP-07_첨단모빌리티)전략기술 테마별 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1239451&flag=rndList"
"b3f174a8-edb1-4259-b72c-211fede0025a","OK","(2025-DCP-24_반도체)딥테크 챌린지 프로젝트(DCP*))","(2025-DCP-24_반도체)딥테크 챌린지 프로젝트(DCP*))","YES","2000000000","N/A","YES","YES","","https://www.ntis.go.kr/rndgate/eg/un/ra/view.do?roRndUid=1247378&flag=rndList"
